name_0,iso,iso_num,name_1,ccaps_id,year,source,website,pnar,pnar_se,pnar_sz,pgar,pgar_se,pgar_sz,snar,snar_se,snar_sz,sgar,sgar_se,sgar_sz,lit15up,lit15up_se,lit15up_sz,lit1524,lit1524_se,lit1524_sz,lit1519,lit1519_se,lit1519_sz,lit2549,lit2549_se,lit2549_sz,iwatpop,iwatpop_se,iwatpop_sz,isanpop,isanpop_se,isanpop_sz,elecpop,elecpop_se,elecpop_sz,radpop,radpop_se,radpop_sz,tvpop,tvpop_se,tvpop_sz,rdtvpop,rdtvpop_se,rdtvpop_sz,iwathh,iwathh_se,iwathh_sz,isanhh,isanhh_se,isanhh_sz,elechh,elechh_se,elechh_sz,radhh,radhh_se,radhh_sz,tvhh,tvhh_se,tvhh_sz,rdtvhh,rdtvhh_se,rdtvhh_sz
"Liberia","LBR",430,"Bomi",430001,2007,"DHS","www.measuredhs.com",21.67638,2.341094,741,56.99075,4.870426,743,14.30509,5.802989,372,29.70534,9.678791,373,37.05647,4.052568,1393,49.07534,4.574067,376,57.68563,5.707274,168,31.84697,3.695281,1017,71.81763,7.72948,3909,27.57352,5.79075,3909,.0860544,.0492279,3909,35.40098,3.772273,3900,.2569444,.1390253,3909,35.3801,3.770843,3909,70.57928,6.799855,1072,28.25437,6.338501,1072,.1274351,.0798898,1072,31.84564,2.900401,1071,.2452612,.1343212,1072,31.83747,2.899958,1072
"Liberia","LBR",430,"Bong",430002,2007,"DHS","www.measuredhs.com",22.4903,2.696423,1177,70.92466,6.811474,1258,5.401096,1.238355,783,24.14175,2.73107,793,45.73746,2.336796,2465,55.60892,3.113963,867,54.28952,3.588919,437,40.55156,2.426775,1598,60.72133,5.090589,6561,17.24874,3.711941,6533,.3499209,.1625891,6561,44.47836,2.891811,6545,.7426351,.3203171,6561,44.40668,2.918902,6568,61.65471,5.1636,1210,18.17398,4.059519,1205,.398051,.1773562,1210,41.42677,2.736439,1208,.6203318,.2266912,1210,41.45223,2.762803,1211
"Liberia","LBR",430,"Gbapolu",430003,2007,"DHS","www.measuredhs.com",21.67638,2.341094,741,56.99075,4.870426,743,14.30509,5.802989,372,29.70534,9.678791,373,37.05647,4.052568,1393,49.07534,4.574067,376,57.68563,5.707274,168,31.84697,3.695281,1017,71.81763,7.72948,3909,27.57352,5.79075,3909,.0860544,.0492279,3909,35.40098,3.772273,3900,.2569444,.1390253,3909,35.3801,3.770843,3909,70.57928,6.799855,1072,28.25437,6.338501,1072,.1274351,.0798898,1072,31.84564,2.900401,1071,.2452612,.1343212,1072,31.83747,2.899958,1072
"Liberia","LBR",430,"Grand Bassa",430004,2007,"DHS","www.measuredhs.com",40.861,1.928736,2281,94.48374,3.54533,2332,22.94468,1.399877,1765,58.33472,2.282164,1773,64.8721,1.827428,5189,74.12867,1.569773,2086,75.42314,1.555534,1098,58.77799,2.102049,3103,72.64302,2.789162,12676,42.57814,2.86624,12649,7.171244,1.405059,12650,69.14536,1.919021,12677,17.56106,1.682073,12680,70.09938,1.919159,12680,69.83502,3.027724,2465,40.70411,2.916201,2460,6.556577,1.228071,2461,66.95628,1.946973,2465,15.52629,1.654368,2466,67.77396,1.930041,2466
"Liberia","LBR",430,"Grand Cape Mount",430005,2007,"DHS","www.measuredhs.com",21.67638,2.341094,741,56.99075,4.870426,743,14.30509,5.802989,372,29.70534,9.678791,373,37.05647,4.052568,1393,49.07534,4.574067,376,57.68563,5.707274,168,31.84697,3.695281,1017,71.81763,7.72948,3909,27.57352,5.79075,3909,.0860544,.0492279,3909,35.40098,3.772273,3900,.2569444,.1390253,3909,35.3801,3.770843,3909,70.57928,6.799855,1072,28.25437,6.338501,1072,.1274351,.0798898,1072,31.84564,2.900401,1071,.2452612,.1343212,1072,31.83747,2.899958,1072
"Liberia","LBR",430,"Grand Gedeh",430006,2007,"DHS","www.measuredhs.com",21.25759,2.746082,869,73.41504,8.230581,870,6.064647,1.000325,503,28.10317,3.279102,503,47.75253,2.170798,1507,51.85574,2.742748,555,53.55114,2.881104,254,45.60116,2.383354,952,58.4422,6.737923,4833,11.50148,1.69189,4835,.4475636,.3828026,4834,44.76991,3.443326,4838,.7113273,.3094769,4832,44.76991,3.443326,4838,57.1293,7.090773,946,11.27883,1.639096,946,.3367948,.2634666,946,40.99456,3.149563,947,.5005978,.2080104,946,40.99456,3.149563,947
"Liberia","LBR",430,"Grand Kru",430007,2007,"DHS","www.measuredhs.com",32.40059,1.993954,1242,97.917,4.866257,1243,6.768378,1.194888,931,31.44465,3.723418,934,50.19672,1.711506,2334,58.36139,2.559215,983,57.07322,3.395854,521,44.71412,1.668844,1351,56.89642,6.627048,6330,11.80762,2.738994,6344,.809793,.2785584,6335,48.42826,3.664442,6331,1.330333,.3313247,6335,48.26091,3.657065,6349,55.27652,6.552569,1117,11.4807,2.6524,1118,.787981,.2478548,1119,43.63876,3.270493,1117,.9505847,.2384086,1119,43.48998,3.248664,1121
"Liberia","LBR",430,"Lofa",430008,2007,"DHS","www.measuredhs.com",22.4903,2.696423,1177,70.92466,6.811474,1258,5.401096,1.238355,783,24.14175,2.73107,793,45.73746,2.336796,2465,55.60892,3.113963,867,54.28952,3.588919,437,40.55156,2.426775,1598,60.72133,5.090589,6561,17.24874,3.711941,6533,.3499209,.1625891,6561,44.47836,2.891811,6545,.7426351,.3203171,6561,44.40668,2.918902,6568,61.65471,5.1636,1210,18.17398,4.059519,1205,.398051,.1773562,1210,41.42677,2.736439,1208,.6203318,.2266912,1210,41.45223,2.762803,1211
"Liberia","LBR",430,"Margibi",430009,2007,"DHS","www.measuredhs.com",40.861,1.928736,2281,94.48374,3.54533,2332,22.94468,1.399877,1765,58.33472,2.282164,1773,64.8721,1.827428,5189,74.12867,1.569773,2086,75.42314,1.555534,1098,58.77799,2.102049,3103,72.64302,2.789162,12676,42.57814,2.86624,12649,7.171244,1.405059,12650,69.14536,1.919021,12677,17.56106,1.682073,12680,70.09938,1.919159,12680,69.83502,3.027724,2465,40.70411,2.916201,2460,6.556577,1.228071,2461,66.95628,1.946973,2465,15.52629,1.654368,2466,67.77396,1.930041,2466
"Liberia","LBR",430,"Maryland",430010,2007,"DHS","www.measuredhs.com",32.40059,1.993954,1242,97.917,4.866257,1243,6.768378,1.194888,931,31.44465,3.723418,934,50.19672,1.711506,2334,58.36139,2.559215,983,57.07322,3.395854,521,44.71412,1.668844,1351,56.89642,6.627048,6330,11.80762,2.738994,6344,.809793,.2785584,6335,48.42826,3.664442,6331,1.330333,.3313247,6335,48.26091,3.657065,6349,55.27652,6.552569,1117,11.4807,2.6524,1118,.787981,.2478548,1119,43.63876,3.270493,1117,.9505847,.2384086,1119,43.48998,3.248664,1121
